Sample	Cq	SQ	sample_rep	tech_rep	station	innsjo	fylke	volum	SQ_vol
560	31.4607323916653	0.00124653944927946	1	6	8	Virikbekken	Vestfold	120	1.03878287439955e-5
559	31.8823801653143	9.63183253308708e-4	2	1	8	Virikbekken	Vestfold	135	7.134690765249689e-6
559	31.9067634209304	9.489258971784e-4	2	2	8	Virikbekken	Vestfold	135	7.02908071984e-6
559	31.7563723477715	0.0010403484569882	2	3	8	Virikbekken	Vestfold	135	7.70628486657926e-6
559	32.0373522933117	8.76083670655853e-4	2	4	8	Virikbekken	Vestfold	135	6.489508671524837e-6
559	31.304674235236	0.00137138006773658	2	5	8	Virikbekken	Vestfold	135	1.0158370872122814e-5
559	31.7572901220148	0.00103976465511955	2	6	8	Virikbekken	Vestfold	135	7.701960408292963e-6
558	31.5399560052451	0.00120905815185861	3	1	8	Virikbekken	Vestfold	150	8.060387679057399e-6
558	31.2625080810309	0.00142358772909907	3	2	8	Virikbekken	Vestfold	150	9.490584860660467e-6
558	31.4609504722135	0.00126662217004289	3	3	8	Virikbekken	Vestfold	150	8.444147800285934e-6
558	31.1791368538551	0.00149520361756388	3	4	8	Virikbekken	Vestfold	150	9.968024117092534e-6
558	31.5752653013194	0.00118418461798799	3	5	8	Virikbekken	Vestfold	150	7.894564119919933e-6
558	31.1762304581564	0.00149776417188438	3	6	8	Virikbekken	Vestfold	150	9.985094479229199e-6
557	30.0783905977689	0.00285848431442936	1	1	7	Virikbekken	Vestfold	170	1.6814613614290352e-5
557	30.0520809353311	0.00290310396123381	1	2	7	Virikbekken	Vestfold	170	1.7077082124904766e-5
557	30.0836398694469	0.00284966425954136	1	3	7	Virikbekken	Vestfold	170	1.676273093847859e-5
557	29.8527201699563	0.00326463435091091	1	4	7	Virikbekken	Vestfold	170	1.9203731475946528e-5
557	29.9573332465608	0.00306963961458505	1	5	7	Virikbekken	Vestfold	170	1.8056703615206177e-5
557	30.0896268898137	0.00283963782334965	1	6	7	Virikbekken	Vestfold	170	1.6703751902056767e-5
556	31.3376423528871	0.00136199066959198	2	1	7	Virikbekken	Vestfold	140	9.728504782799856e-6
556	31.49019005636	0.00124500529038189	2	2	7	Virikbekken	Vestfold	140	8.892894931299215e-6
556	31.2550576681278	0.00142984557242393	2	3	7	Virikbekken	Vestfold	140	1.0213182660170928e-5
556	31.1295005705857	0.00153954076856271	2	4	7	Virikbekken	Vestfold	140	1.099671977544793e-5
556	30.8546189177838	0.00180997303058922	2	5	7	Virikbekken	Vestfold	140	1.2928378789923e-5
556	31.1670488524842	0.00150588207148682	2	6	7	Virikbekken	Vestfold	140	1.0756300510620144e-5
555	30.1380776384023	0.00275978475545994	3	1	7	Virikbekken	Vestfold	135	2.0442850040444e-5
555	30.1662627122457	0.00271436931365022	3	2	7	Virikbekken	Vestfold	135	2.0106439360371998e-5
555	30.1953002705977	0.00266836172059982	3	3	7	Virikbekken	Vestfold	135	1.9765642374813483e-5
555	30.254084922672	0.00257759582535778	3	4	7	Virikbekken	Vestfold	135	1.909330241005763e-5
555	30.1990740392832	0.00266244004046709	3	5	7	Virikbekken	Vestfold	135	1.9721778077534e-5
555	30.1424388546019	0.00275270802383309	3	6	7	Virikbekken	Vestfold	135	2.0390429806171038e-5
554	28.4037329972232	0.0076613835500040604	1	1	6	Virikbekken	Vestfold	260	2.9466859807707923e-5
554	28.3610029107873	0.00785655769574267	1	2	6	Virikbekken	Vestfold	260	3.021752959901027e-5
554	28.3840196937045	0.00775081627828941	1	3	6	Virikbekken	Vestfold	260	2.9810831839574657e-5
554	28.3595296326464	0.00786337500059157	1	4	6	Virikbekken	Vestfold	260	3.0243750002275273e-5
554	28.467120715191	0.00738074880371399	1	5	6	Virikbekken	Vestfold	260	2.838749539889996e-5
554	28.5036251739478	0.00722382264964025	1	6	6	Virikbekken	Vestfold	260	2.7783933267847116e-5
553	28.0655927634676	0.00934892933993067	2	4	6	Virikbekken	Vestfold	325	2.8765936430555904e-5
553	28.048589921269	0.00944298093002856	2	5	6	Virikbekken	Vestfold	325	2.9055325938549414e-5
553	27.8636677004205	0.0105290567601055	2	6	6	Virikbekken	Vestfold	325	3.2397097723401537e-5
553	27.8466922912065	0.010634808847192	2	1	6	Virikbekken	Vestfold	325	3.2722488760590766e-5
553	28.0044382545823	0.00969164900558138	2	2	6	Virikbekken	Vestfold	325	2.9820458478711938e-5
553	27.918813037656	0.0101927195250653	2	3	6	Virikbekken	Vestfold	325	3.1362213923277844e-5
552	27.7830997788966	0.0110405022208527	3	1	6	Virikbekken	Vestfold	260	4.246347008020269e-5
552	28.12394255261	0.00903323231969098	3	2	6	Virikbekken	Vestfold	260	3.47432012295807e-5
552	27.8629415201574	0.0105335590562213	3	3	6	Virikbekken	Vestfold	260	4.051368867777423e-5
552	27.9609327568339	0.00994308223692675	3	4	6	Virikbekken	Vestfold	260	3.824262398817981e-5
552	28.1798621459233	0.0087406922036519	3	5	6	Virikbekken	Vestfold	260	3.3618046937122695e-5
552	28.0098834905863	0.00966063015005629	3	6	6	Virikbekken	Vestfold	260	3.715626980790881e-5
551	30.490771756274	0.00224232957877588	1	4	5	Virikbekken	Vestfold	170	1.3190173992799295e-5
551	30.472224179132	0.00226694839654684	1	5	5	Virikbekken	Vestfold	170	1.3334990567922589e-5
551	30.5537494709941	0.00216071503600042	1	6	5	Virikbekken	Vestfold	170	1.2710088447061295e-5
551	30.7338974824689	0.00194329080292563	1	1	5	Virikbekken	Vestfold	170	1.1431122370150764e-5
551	30.5495963643219	0.0021660044666245498	1	2	5	Virikbekken	Vestfold	170	1.2741202744850292e-5
551	30.5979996986093	0.00210515331216987	1	3	5	Virikbekken	Vestfold	170	1.2383254777469824e-5
550	30.7592378712608	0.00191451529955151	2	1	5	Virikbekken	Vestfold	180	1.06361961086195e-5
550	30.5483047605456	0.0021676521019367	2	2	5	Virikbekken	Vestfold	180	1.2042511677426111e-5
550	30.6976903346874	0.00198515823351099	2	3	5	Virikbekken	Vestfold	180	1.1028656852838833e-5
550	30.5791616738232	0.00212863000156111	2	4	5	Virikbekken	Vestfold	180	1.1825722230895055e-5
550	30.5101939675735	0.0022168363472501	2	5	5	Virikbekken	Vestfold	180	1.2315757484722779e-5
550	30.617554299592	0.00208105744470016	2	6	5	Virikbekken	Vestfold	180	1.1561430248334222e-5
549	31.1931385941618	0.00148292919880113	3	4	5	Virikbekken	Vestfold	240	6.178871661671375e-6
549	31.2376427319722	0.00144458045003178	3	5	5	Virikbekken	Vestfold	240	6.019085208465751e-6
549	31.339389956148	0.00136059011224169	3	6	5	Virikbekken	Vestfold	240	5.669125467673708e-6
549	31.2533629141467	0.00143127288726169	3	1	5	Virikbekken	Vestfold	240	5.963637030257042e-6
549	31.3318176068272	0.00136666913344441	3	2	5	Virikbekken	Vestfold	240	5.694454722685042e-6
549	31.2571666439263	0.00142807138923163	3	3	5	Virikbekken	Vestfold	240	5.950297455131792e-6
548	30.1079144977472	0.00280922957510806	1	1	4	Virikbekken	Vestfold	410	6.851779451483073e-6
548	30.1528468822899	0.00273589266921222	1	2	4	Virikbekken	Vestfold	410	6.672908949298097e-6
548	30.1774464483372	0.0026965564300588	1	3	4	Virikbekken	Vestfold	410	6.576966902582439e-6
548	30.4380331421039	0.00231304187462151	1	4	4	Virikbekken	Vestfold	410	5.641565547857341e-6
548	30.0783284804445	0.00285858884993044	1	5	4	Virikbekken	Vestfold	410	6.97216792665961e-6
548	30.3810942850965	0.00239189135951016	1	6	4	Virikbekken	Vestfold	410	5.833881364658927e-6
547	30.1438948298136	0.00248100109392795	2	1	4	Virikbekken	Vestfold	360	6.891669705355417e-6
547	30.4728498873275	0.00201727948663513	2	2	4	Virikbekken	Vestfold	360	5.603554129542028e-6
547	30.1826396033015	0.00242126887258359	2	3	4	Virikbekken	Vestfold	360	6.72574686828775e-6
547	30.3463799229651	0.00218430842580576	2	4	4	Virikbekken	Vestfold	360	6.067523405016e-6
547	30.0772015704361	0.00258729292032428	2	5	4	Virikbekken	Vestfold	360	7.186924778678556e-6
547	30.2163246639678	0.00237050702796353	2	6	4	Virikbekken	Vestfold	360	6.584741744343139e-6
546	30.0685962473158	0.00260133522781012	3	1	4	Virikbekken	Vestfold	395	6.585658804582582e-6
546	30.2554116060119	0.00231293719341952	3	2	4	Virikbekken	Vestfold	395	5.85553719853043e-6
546	30.1998389633422	0.00239521585402093	3	3	4	Virikbekken	Vestfold	395	6.063837605116278e-6
546	29.9606864269161	0.00278403136351665	3	4	4	Virikbekken	Vestfold	395	7.04818066713076e-6
546	30.0446539595647	0.00264080694705153	3	5	4	Virikbekken	Vestfold	395	6.685587207725392e-6
546	30.0084413822936	0.00270164865395465	3	6	4	Virikbekken	Vestfold	395	6.839616845454811e-6
545	33.9561834731342	2.25538868188064e-4	1	1	3	Virikbekken	Vestfold	290	7.777202351312552e-7
545	33.803992107567	2.48196480418125e-4	1	2	3	Virikbekken	Vestfold	290	8.558499324762931e-7
545	35.094761859723	1.10203437482232e-4	1	3	3	Virikbekken	Vestfold	290	3.800118533870069e-7
545	34.6923151930745	1.41948817543203e-4	1	4	3	Virikbekken	Vestfold	290	4.894786811834586e-7
545	34.1128355294242	2.04375411650567e-4	1	5	3	Virikbekken	Vestfold	290	7.047427987950586e-7
545	34.4957189371747	1.60633497735549e-4	1	6	3	Virikbekken	Vestfold	290	5.539086128812034e-7
544	32.3701403256147	6.11620332153005e-4	2	4	3	Virikbekken	Vestfold	290	2.1090356281138104e-6
544	32.519765170616	5.5668406588285e-4	2	5	3	Virikbekken	Vestfold	290	1.919600227182241e-6
544	32.6415846334915	5.15621814159458e-4	2	6	3	Virikbekken	Vestfold	290	1.7780062557222691e-6
544	32.433309151414	5.87795208969843e-4	2	1	3	Virikbekken	Vestfold	290	2.026880030930493e-6
544	32.2741376523993	6.49691270954091e-4	2	2	3	Virikbekken	Vestfold	290	2.2403147274279e-6
544	31.9275339436948	8.07958417056492e-4	2	3	3	Virikbekken	Vestfold	290	2.786063507091352e-6
543	32.7733548674556	4.74608503819082e-4	3	1	3	Virikbekken	Vestfold	400	1.186521259547705e-6
543	32.9015782484387	4.37833154125498e-4	3	2	3	Virikbekken	Vestfold	400	1.094582885313745e-6
543	33.0950825594311	3.87658165708282e-4	3	3	3	Virikbekken	Vestfold	400	9.69145414270705e-7
543	32.987670466205	4.14754181490548e-4	3	4	3	Virikbekken	Vestfold	400	1.03688545372637e-6
543	33.3180613630265	3.36928431731325e-4	3	5	3	Virikbekken	Vestfold	400	8.423210793283125e-7
543	33.9158734713152	2.31330506179028e-4	3	6	3	Virikbekken	Vestfold	400	5.7832626544757e-7
542	NaN	NA	1	4	2	Virikbekken	Vestfold	440	NA
542	NaN	NA	1	5	2	Virikbekken	Vestfold	440	NA
542	NaN	NA	1	6	2	Virikbekken	Vestfold	440	NA
542	NaN	NA	1	1	2	Virikbekken	Vestfold	440	NA
542	NaN	NA	1	2	2	Virikbekken	Vestfold	440	NA
542	NaN	NA	1	3	2	Virikbekken	Vestfold	440	NA
541	NaN	NA	2	1	2	Virikbekken	Vestfold	365	NA
541	NaN	NA	2	2	2	Virikbekken	Vestfold	365	NA
541	NaN	NA	2	3	2	Virikbekken	Vestfold	365	NA
541	NaN	NA	2	4	2	Virikbekken	Vestfold	365	NA
541	NaN	NA	2	5	2	Virikbekken	Vestfold	365	NA
541	NaN	NA	2	6	2	Virikbekken	Vestfold	365	NA
540	NaN	NA	3	4	2	Virikbekken	Vestfold	370	NA
540	NaN	NA	3	5	2	Virikbekken	Vestfold	370	NA
540	NaN	NA	3	6	2	Virikbekken	Vestfold	370	NA
540	NaN	NA	3	1	2	Virikbekken	Vestfold	370	NA
540	NaN	NA	3	2	2	Virikbekken	Vestfold	370	NA
540	NaN	NA	3	3	2	Virikbekken	Vestfold	370	NA
539	NaN	NA	1	1	1	Virikbekken	Vestfold	450	NA
539	NaN	NA	1	2	1	Virikbekken	Vestfold	450	NA
539	NaN	NA	1	3	1	Virikbekken	Vestfold	450	NA
539	NaN	NA	1	4	1	Virikbekken	Vestfold	450	NA
539	NaN	NA	1	5	1	Virikbekken	Vestfold	450	NA
539	NaN	NA	1	6	1	Virikbekken	Vestfold	450	NA
538	NaN	NA	2	1	1	Virikbekken	Vestfold	480	NA
538	NaN	NA	2	2	1	Virikbekken	Vestfold	480	NA
538	NaN	NA	2	3	1	Virikbekken	Vestfold	480	NA
538	NaN	NA	2	4	1	Virikbekken	Vestfold	480	NA
538	NaN	NA	2	5	1	Virikbekken	Vestfold	480	NA
538	NaN	NA	2	6	1	Virikbekken	Vestfold	480	NA
537	NaN	NA	3	1	1	Virikbekken	Vestfold	465	NA
537	38.3669271270813	1.40713402056996e-5	3	2	1	Virikbekken	Vestfold	465	3.026094667892387e-8
537	NaN	NA	3	3	1	Virikbekken	Vestfold	465	NA
537	NaN	NA	3	4	1	Virikbekken	Vestfold	465	NA
537	NaN	NA	3	5	1	Virikbekken	Vestfold	465	NA
537	40.509325587152	3.65674751713536e-6	3	6	1	Virikbekken	Vestfold	465	7.863973155129806e-9
